,TEAM,STATUS,PLAYER,POS.,CAP HIT,CAP %,YEAR,,,SALARY CAP,win%,avg_age,WIN%_GRP,POS_GRP,ID,ID,ID,ID,ID,Commas,,,team name on site,,
28,jax,active,Shaq Quarterman,ILB,903600,0.43,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,sf_2021,sf_2019,"sf_2019,",sf_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Seattle-Seahawks,"Seattle-Seahawks/cap/2019"")","sf_2019 =pd.read_html(""https://www.spotrac.com/nfl/Seattle-Seahawks/cap/2019"")"
29,jax,active,Daniel Thomas,SS,859279,0.41,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,tb_2021,tb_2019,"tb_2019,",tb_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Tampa-Bay-Buccaneers,"Tampa-Bay-Buccaneers/cap/2019"")","tb_2019 =pd.read_html(""https://www.spotrac.com/nfl/Tampa-Bay-Buccaneers/cap/2019"")"
30,jax,active,Andrew Wingard,FS,851668,0.41,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,ten_2021,ten_2019,"ten_2019,",ten_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Tennessee-Titans,"Tennessee-Titans/cap/2019"")","ten_2019 =pd.read_html(""https://www.spotrac.com/nfl/Tennessee-Titans/cap/2019"")"
31,jax,active,Jacob Hollister,TE,850000,0.41,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,was_2021,was_2019,was_2019,was_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Washington-Football-Team,"Washington-Football-Team/cap/2019"")","was_2019 =pd.read_html(""https://www.spotrac.com/nfl/Washington-Football-Team/cap/2019"")"
32,jax,active,Dakota Allen,ILB,850000,0.41,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,,,,,,,,
33,jax,active,Dare Ogunbowale,RB,850000,0.41,2019,2020,2021,182500000,0.176,25.48,low_win%,runner,jax_2019,jax_2020,jax_2021,,arz_2020,"arz_2020,",arz_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Arizona-Cardinals,"Arizona-Cardinals/cap/2020"")","arz_2020 =pd.read_html(""https://www.spotrac.com/nfl/Arizona-Cardinals/cap/2020"")"
34,jax,active,Jordan Smith,OLB,844897,0.4,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,,atl_2020,"atl_2020,",atl_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Atlanta-Falcons,"Atlanta-Falcons/cap/2020"")","atl_2020 =pd.read_html(""https://www.spotrac.com/nfl/Atlanta-Falcons/cap/2020"")"
35,jax,active,Chris Claybrooks,CB,805596,0.39,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,,blt_2020,"blt_2020,",blt_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Baltimore-Ravens,"Baltimore-Ravens/cap/2020"")","blt_2020 =pd.read_html(""https://www.spotrac.com/nfl/Baltimore-Ravens/cap/2020"")"
36,jax,active,Tavon Austin,WR,785833,0.38,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,buf_2020,"buf_2020,",buf_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Buffalo-Bills,"Buffalo-Bills/cap/2020"")","buf_2020 =pd.read_html(""https://www.spotrac.com/nfl/Buffalo-Bills/cap/2020"")"
37,jax,active,Ross Matiscik,LS,780333,0.37,2019,2020,2021,182500000,0.176,25.48,low_win%,kicking,jax_2019,jax_2020,jax_2021,,car_2020,"car_2020,",car_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Carolina-Panthers,"Carolina-Panthers/cap/2020"")","car_2020 =pd.read_html(""https://www.spotrac.com/nfl/Carolina-Panthers/cap/2020"")"
