TEAM,STATUS,PLAYER,POS.,BASE SALARY,SIGNING BONUS,ROSTER BONUS,OPTION BONUS,WORKOUT BONUS,RESTRUC. BONUS,MISC.,DEAD CAP,CAP HIT,CAP %
jax,dead cap,Luq Barcoo,CB,-,"$6,666 ",-,-,-,-,-,-,"$6,666 ",0
jax,dead cap,Nate Evans,LB,-,"$5,000 ",-,-,-,-,-,-,"$5,000 ",0
jax,dead cap,Steven Nielson,T,-,"$5,000 ",-,-,-,-,-,-,"$5,000 ",0
jax,dead cap,Ben Ellefson,TE,-,"$3,334 ",-,-,-,-,-,-,"$3,334 ",0
jax,dead cap,Tavien Feaster,RB,-,"$3,334 ",-,-,-,-,-,-,"$3,334 ",0
jax,dead cap,Amari Henderson,CB,-,"$3,334 ",-,-,-,-,-,-,"$3,334 ",0
jax,dead cap,Brandon Wright,K,-,"$3,334 ",-,-,-,-,-,-,"$3,334 ",0
jax,dead cap,Marvelle Ross,WR,-,"$1,667 ",-,-,-,-,-,-,"$1,667 ",0
jax,dead cap,Connor Slomka,FB,-,$667 ,-,-,-,-,-,-,$667 ,0
arz,active,Chandler Jones,OLB,"$15,500,000 ","$3,000,000 ",-,-,-,"$1,676,388 ",-,"($20,833,334)","$20,176,388 ",10.51
arz,active,D.J. Humphries,LT,"$15,100,000 ","$800,000 ","$500,000 ",-,-,"$3,530,000 ",-,"($23,760,000)","$19,930,000 ",10.38
arz,active,Kyler Murray,QB,"$850,000 ","$5,897,481 ","$3,016,240 ",-,-,-,-,"($20,775,564)","$9,763,721 ",5.08
arz,active,Budda Baker,S,"$4,000,000 ","$2,000,000 ",-,"$1,775,000 ",-,-,-,"($21,100,000)","$7,775,000 ",4.05
arz,active,Justin Pugh,G,"$4,000,000 ","$2,000,000 ","$882,353 ",-,-,-,-,"($8,000,000)","$6,882,353 ",3.58
arz,active,Jordan Phillips,DT,"$3,492,778 ","$2,000,000 ",-,-,-,"$1,301,444 ",-,"($15,999,998)","$6,794,222 ",3.54
arz,active,Devon Kennard,OLB,"$3,650,000 ","$1,250,000 ","$382,343 ",-,-,"$862,500 ",-,"($10,000,000)","$6,144,843 ",3.2
arz,active,Jordan Hicks,ILB,"$2,000,000 ","$3,000,000 ","$941,176 ",-,-,-,-,"($8,000,000)","$5,941,176 ",3.09
arz,active,Zach Ertz,TE,"$5,666,667 ",-,-,-,-,-,-,"($5,666,667)","$5,666,667 ",2.95
arz,active,J.J. Watt,DE,"$2,500,000 ","$2,400,000 ",-,-,-,-,-,"($20,000,000)","$4,900,000 ",2.55
arz,active,Isaiah Simmons,ILB,"$780,000 ","$3,147,101 ","$769,275 ",-,-,-,-,"($16,906,954)","$4,696,376 ",2.45
arz,active,A.J. Green,WR,"$2,250,000 ","$1,250,000 ",-,-,-,-,-,"($6,000,000)","$3,500,000 ",1.82
arz,active,Dennis Gardeck,OLB,"$3,384,000 ",-,-,-,-,-,-,-,"$3,384,000 ",1.76
arz,active,Christian Kirk,WR,"$2,433,000 ","$591,794 ",-,-,-,-,-,"($591,794)","$3,024,794 ",1.58
arz,active,Rodney Hudson,C,"$1,100,000 ",-,-,-,-,"$1,760,000 ",-,"($10,900,000)","$2,860,000 ",1.49
arz,active,Zaven Collins,ILB,"$660,000 ","$2,010,956 ",-,-,-,-,-,"($14,690,258)","$2,670,956 ",1.39
arz,active,Byron Murphy,CB,"$1,221,318 ","$957,636 ",-,-,-,-,-,"($2,864,847)","$2,178,954 ",1.13
arz,active,Ezekiel Turner,ILB,"$2,133,000 ",-,-,-,-,-,-,-,"$2,133,000 ",1.11
arz,active,Matt Prater,K,"$1,075,000 ","$925,000 ",-,-,-,-,-,"($2,925,000)","$2,000,000 ",1.04
arz,active,Markus Golden,OLB,"$1,000,000 ","$750,000 ","$235,294 ",-,-,-,-,"($2,500,000)","$1,985,294 ",1.03
arz,active,James Conner,RB,"$1,250,000 ","$500,000 ",-,-,-,-,-,"($1,750,000)","$1,750,000 ",0.91
arz,active,Kelvin Beachum,RT,"$1,075,000 ","$500,000 ",-,-,-,-,-,"($2,325,000)","$1,575,000 ",0.82
arz,active,Tanner Vallejo,ILB,"$990,000 ","$250,000 ","$141,176 ",-,-,-,-,"($1,490,000)","$1,381,176 ",0.72
arz,active,Andy Isabella,WR,"$915,900 ","$346,794 ",-,-,-,-,-,"($693,588)","$1,262,694 ",0.66
arz,active,Rondale Moore,WR,"$660,000 ","$598,953 ",-,-,-,-,-,"($3,370,550)","$1,258,953 ",0.66
arz,active,Aaron Brewer,LS,"$1,075,000 ","$68,750 ","$38,259 ",-,"$50,000 ",-,-,"($1,143,750)","$1,232,009 ",0.64
arz,active,Zach Allen,DE,"$885,342 ","$285,684 ",-,-,-,-,-,"($571,368)","$1,171,026 ",0.61
arz,active,Josh Jones,RT,"$829,970 ","$269,881 ",-,-,-,-,-,"($809,643)","$1,099,851 ",0.57
arz,active,Andy Lee,P,"$1,500,000 ",-,-,-,-,-,-,"($1,500,000)","$1,075,000 ",0.56
arz,active,Chase Edmonds,RB,"$920,000 ","$113,092 ",-,-,-,-,-,"($113,092)","$1,033,092 ",0.54
arz,active,Colt McCoy,QB,"$1,075,000 ","$137,500 ",-,-,-,-,-,"($1,212,500)","$987,500 ",0.51
arz,active,Corey Peters,DT,"$1,075,000 ",-,"$137,500 ",-,-,-,-,"($1,212,500)","$987,500 ",0.51
arz,active,Darrell Daniels,TE,"$990,000 ","$137,500 ",-,-,-,-,-,"($1,127,500)","$987,500 ",0.51
arz,active,Max Garcia,C,"$990,000 ","$68,750 ","$68,750 ",-,-,-,-,"($1,058,750)","$987,500 ",0.51
arz,active,Charles Washington,S,"$990,000 ","$68,750 ","$68,750 ",-,-,-,-,"($1,058,750)","$987,500 ",0.51
arz,active,Leki Fotu,DT,"$780,000 ","$193,368 ",-,-,-,-,-,"($580,104)","$973,368 ",0.51
arz,active,Rashard Lawrence,DT,"$780,000 ","$171,021 ",-,-,-,-,-,"($513,063)","$951,021 ",0.5
arz,active,Deionte Thompson,SS,"$850,000 ","$87,208 ",-,-,-,-,-,"($174,416)","$937,208 ",0.49
arz,active,Jalen Thompson,SS,"$850,000 ","$85,730 ",-,-,-,-,-,"($171,460)","$935,730 ",0.49
arz,active,Joshua Miles,LT,"$850,000 ","$18,644 ",-,-,-,-,-,"($37,288)","$868,644 ",0.45
arz,active,Demetrius Harris,TE,"$1,075,000 ",-,-,-,-,-,-,"($1,075,000)","$850,000 ",0.44
arz,active,Michael Dogbe,DE,"$850,000 ",-,-,-,-,-,-,-,"$850,000 ",0.44
arz,active,Antonio Hamilton,CB,"$825,000 ",-,-,-,-,-,-,-,"$825,000 ",0.43
arz,active,Marco Wilson,S,"$660,000 ","$162,595 ",-,-,-,-,-,"($650,380)","$822,595 ",0.43
arz,active,Eno Benjamin,RB,"$780,000 ","$25,678 ",-,-,-,-,-,"($77,034)","$805,678 ",0.42
arz,active,Jonathan Ward,RB,"$780,000 ",-,-,-,-,-,-,-,"$780,000 ",0.41
arz,active,Sean Harlow,G,"$755,552 ",-,-,-,-,-,-,-,"$755,552 ",0.39
arz,active,Victor Dimukeje,OLB,"$660,000 ","$40,465 ",-,-,-,-,-,"($161,860)","$700,465 ",0.36
arz,active,Chris Banjo,S,"$895,833 ",-,-,-,-,-,-,-,"$661,111 ",0.34
arz,active,Antoine Wesley,WR,"$660,000 ",-,-,-,-,-,-,-,"$660,000 ",0.34
arz,active,Zach Kerr,DE,"$537,500 ",-,-,-,-,-,-,-,"$537,500 ",0.28
arz,active,Trace McSorley,QB,"$330,554 ",-,-,-,-,-,-,-,"$330,554 ",0.17
arz,active,Marcus Henry,C,"$329,994 ",-,-,-,-,-,-,-,"$329,994 ",0.17
